NLP_Embedding_Text,is_ex_ante,Category_Commerce_and_Leisure,Category_Education_and_Culture,Category_Environment_and_Resources,Category_Fiscal_and_Finance,Category_Governance_and_Local_Sectors,Category_Social_Welfare_and_Labor,Category_Tech_and_Infrastructure,Absolute_Latency_Days
"Anti-POGO Act of 2025 - An Act Institutionalizing the Ban on Philippine Offshore Gaming Operators, Declaring Their Operations and Other Related Activities Illegal, Repealing for the Purpose Republic Act No. 11590, and Providing Penalties Therefor",1,0,0,0,1,0,1,0,522
"BSKE Term Setting Act - An Act Setting the Term of Office of Barangay and Sangguniang Kabataan Officials to Four Years, Rescheduling for the Purpose the December 1, 2025 Synchronized Barangay and Sangguniang Kabataan Elections, and Amending Relevant Laws",1,0,0,0,1,1,0,0,94
"General Appropriations Act of 2025 - An Act Appropriating Funds for the Operation of the Government of the Republic of the Philippines from January One to December Thirty-One, Two Thousand and Twenty-Five",0,0,0,0,1,0,0,0,20
"Expanded Centenarians Act - An Act Granting Benefits to Filipino Octogenarians and Nonagenarians, Amending for this Purpose Republic Act No. 10868, Otherwise Known as the 'Centenarians Act of 2016', and Appropriating Funds Therefor",0,0,0,0,1,0,1,0,27
SIM Card Registration Act - An Act Requiring the Registration of Subscriber Identity Module (SIM) to Promote Accountability in the Use of Mobile Communications and Aid Law Enforcers in Tracking Electronic Communication-Aided Crimes,0,1,0,0,1,0,0,1,195
Anti-Agricultural Economic Sabotage Act - An Act Defining the Crimes of Agricultural Economic Sabotage Prescribing Penalties Therefor,1,0,0,1,1,0,0,0,172
Kabalikat sa Pagtuturo Act - An Act Institutionalizing the Grant of a Teaching Allowance for Public School Teachers and Appropriating Funds Therefor,0,0,1,0,1,0,0,0,121
AFASA Law - Anti-Financial Account Scamming Act,0,0,0,0,1,0,0,0,540
Eddie Garcia Law - An Act Instituting Policies for the Protection and Welfare of Workers in the Movie and Television Industry,0,0,0,0,0,0,1,0,2
Bayanihan to Heal as One Act - An Act Declaring the Existence of a National Emergency Arising from the Coronavirus Disease 2019,0,0,0,0,1,0,0,0,2210
